name,label,gender,region,format,augmentation,original_name
Anu Gud,PERSON,female,telugu,firstname_lastname_abbreviated,abbreviated,Anusha Gudivada
Joginder T,PERSON,male,punjabi,firstname_initial,original,Joginder T
Anitha/44,PERSON,female,tamil,firstname_only_suffix_noise,suffix_noise,Anitha
DR RITVIK DAGA,PERSON,male,hindi,upper_prefix_noise,prefix_noise,RITVIK DAGA
S Daroga,PERSON,female,hindi,initial_lastname,original,S Daroga
Shaheen B,PERSON,female,muslim,firstname_initial,original,Shaheen B
Shkauntala W,PERSON,female,jain,firstname_initial_typo_swap,typo_swap,Shakuntala W
CHUB***,PERSON,female,northeast,upper_partial_masked,partial_masked,CHUBALA THADOU
B Kataria,PERSON,male,rajasthani,initial_lastname,original,B Kataria
Moha,PERSON,male,punjabi,firstname_initial_char_drop,char_drop,Mohan C
deborah halder,PERSON,female,christian,lower,original,deborah halder
Ila Sundari Sheth,PERSON,female,gujarati,three_part,original,Ila Sundari Sheth
Pranjal S,PERSON,female,marathi,firstname_initial_char_drop,char_drop,Pranjali S
Ishaan S,PERSON,male,hindi,firstname_initial,original,Ishaan S
Lalit Daya Puri,PERSON,male,hindi,three_part,original,Lalit Daya Puri
Biate,PERSON,female,northeast,initial_lastname_last_name_only,last_name_only,M Biate
Ranjtiha S,PERSON,female,kannada,firstname_initial_typo_swap,typo_swap,Ranjitha S
nowroji marshall,PERSON,male,parsi,lower,original,nowroji marshall
buddhadeb barua-9141,PERSON,male,bengali,lower_suffix_noise,suffix_noise,buddhadeb barua
LoganathanUdhay,PERSON,male,tamil,lastname_firstname_no_spaces,no_spaces,Loganathan Udhay
Pavan Swaroop Bhimasena/46,PERSON,male,telugu,three_part_suffix_noise,suffix_noise,Pavan Swaroop Bhimasena
Shailmesh Bharwad,PERSON,male,gujarati,firstname_lastname_char_insert,char_insert,Shailesh Bharwad
JAGMEET SRAN,PERSON,male,punjabi,upper,original,JAGMEET SRAN
AGhadai,PERSON,male,odia,initial_lastname_no_spaces+first_name_only,no_spaces+first_name_only,A Ghadai
NEELAVENI,PERSON,female,tamil,upper_first_name_only,first_name_only,NEELAVENI GNANASEKARAN
mahavir lohar,PERSON,male,jain,lower,original,mahavir lohar
Archana Sivadasan,PERSON,female,malayalam,firstname_lastname,original,Archana Sivadasan
Purnednu,PERSON,male,bengali,firstname_only_typo_swap,typo_swap,Purnendu
SHAILA_SUDHA_TILAK,PERSON,female,marathi,three_part_upper_space_replaced,space_replaced,SHAILA SUDHA TILAK
Hutokshi Deboo,PERSON,female,parsi,firstname_lastname,original,Hutokshi Deboo
P Venguopal,PERSON,male,tamil,initial_lastname_typo_swap,typo_swap,P Venugopal
Hukumchand,PERSON,male,rajasthani,firstname_only,original,Hukumchand
SAMANTA,PERSON,male,assamese,upper_last_name_only,last_name_only,JUGAL SAMANTA
KAMALA   VALLURI,PERSON,female,telugu,upper_extra_spaces,extra_spaces,KAMALA VALLURI
AnbazhaganAnbukkarasi,PERSON,female,tamil,lastname_firstname_no_spaces,no_spaces,Anbazhagan Anbukkarasi
H Kot,PERSON,female,jain,initial_lastname_abbreviated,abbreviated,H Kothari
D    Madhani,PERSON,male,gujarati,initial_lastname_extra_spaces,extra_spaces,D Madhani
PHURITSABAM REANG,PERSON,female,northeast,upper,original,PHURITSABAM REANG
Sharadamma B/62,PERSON,female,kannada,firstname_initial_suffix_noise,suffix_noise,Sharadamma B
DAYAWANTI SOLANK..,PERSON,female,jain,upper_truncated_ellipsis,truncated_ellipsis,DAYAWANTI SOLANKI
Luthra Ruth,PERSON,female,christian,lastname_firstname,original,Luthra Ruth
A D S***,PERSON,female,telugu,initials_lastname_partial_masked,partial_masked,A D Swamy
Mrs L Pandey,PERSON,female,gujarati,initial_lastname_prefix_noise,prefix_noise,L Pandey
Moh***,PERSON,male,tamil,firstname_only_partial_masked,partial_masked,Mohan
Divan Sarojini,PERSON,female,marathi,lastname_firstname_phonetic_sub,phonetic_sub,Diwan Sarojini
sheb vareky,PERSON,female,malayalam,lower_vowel_drop+typo_swap,vowel_drop+typo_swap,sheeba varkey
jamunabhandari,PERSON,female,rajasthani,lower_no_spaces,no_spaces,jamuna bhandari
Kamal Banjara-5854,PERSON,male,hindi,firstname_lastname_suffix_noise,suffix_noise,Kamal Banjara
Zala.Kanan,PERSON,female,gujarati,lastname_firstname_space_replaced,space_replaced,Zala Kanan
D. Kimothi,PERSON,male,hindi,initial_lastname_dots_added,dots_added,D Kimothi
mahalakshmi samudrala.,PERSON,female,telugu,lower_dots_added,dots_added,mahalakshmi samudrala
Shri Soundararajan Madhumitha,PERSON,female,tamil,lastname_firstname_prefix_noise,prefix_noise,Soundararajan Madhumitha
Varsha K,PERSON,female,hindi,firstname_initial,original,Varsha K
Smt Kalbi Chandan,PERSON,female,rajasthani,lastname_firstname_prefix_noise,prefix_noise,Kalbi Chandan
ANUJA BHOIR,PERSON,female,marathi,upper,original,ANUJA BHOIR
Lingappa,PERSON,male,kannada,firstname_only,original,Lingappa
shamika raut,PERSON,female,marathi,lower,original,shamika raut
Sorne Nandita,PERSON,female,bengali,lastname_firstname_typo_swap,typo_swap,Soren Nandita
dhpbai solnk,PERSON,female,rajasthani,lower_vowel_drop,vowel_drop,dhapubai solanki
E_Indi,PERSON,male,kannada,initial_lastname_space_replaced,space_replaced,E Indi
M Scelke,PERSON,female,marathi,initial_lastname_phonetic_sub,phonetic_sub,M Shelke
Vapsy,PERSON,female,parsi,firstname_only_phonetic_sub,phonetic_sub,Bapsy
Atif B,PERSON,male,muslim,firstname_initial,original,Atif B
LEIMA DULARI MAO AC2127,PERSON,female,northeast,three_part_upper_suffix_noise,suffix_noise,LEIMA DULARI MAO
Mumta,PERSON,female,muslim,firstname_only_char_drop,char_drop,Mumtaz
MR Sagar Patil,PERSON,male,marathi,firstname_lastname_prefix_noise,prefix_noise,Sagar Patil
A Sivadasan,PERSON,female,malayalam,initial_lastname,original,A Sivadasan
R Gore,PERSON,male,marathi,initial_lastname,original,R Gore
Sharanjitt Jan Jhand,PERSON,female,punjabi,three_part_char_repeat,char_repeat,Sharanjit Jan Jhand
Jibreel,PERSON,male,muslim,firstname_only,original,Jibreel
Renuka G HZS,PERSON,female,gujarati,firstname_initial_suffix_noise,suffix_noise,Renuka G
Mardi Patrick,PERSON,male,christian,lastname_firstname,original,Mardi Patrick
Wadia  Hilla,PERSON,female,parsi,lastname_firstname_extra_spaces,extra_spaces,Wadia Hilla
Smt Sarath,PERSON,male,tamil,firstname_only_prefix_noise,prefix_noise,Sarath
Hanumanta pIara cIntala,PERSON,male,telugu,three_part_phonetic_sub,phonetic_sub,Hanumantha Piara Chintala
janhavi jedhe/76,PERSON,female,marathi,lower_suffix_noise,suffix_noise,janhavi jedhe
MM Kidwai,PERSON,male,muslim,initial_lastname_char_repeat,char_repeat,M Kidwai
Vhar Gerald,PERSON,male,christian,lastname_firstname_phonetic_sub,phonetic_sub,Bhar Gerald
M Sind,PERSON,male,rajasthani,initial_lastname_abbreviated,abbreviated,M Sindhi
Jial Ngar,PERSON,male,gujarati,firstname_lastname_char_drop,char_drop,Jinal Nagar
HRSIHIKESH GANGULY,PERSON,male,assamese,upper_typo_swap,typo_swap,HRISHIKESH GANGULY
Dhar D,PERSON,female,gujarati,firstname_initial_abbreviated,abbreviated,Dhara D
Wadhw Gurmt,PERSON,male,punjabi,lastname_firstname_vowel_drop,vowel_drop,Wadhwa Gurmeet
Garasiya Champalal,PERSON,female,jain,lastname_firstname,original,Garasiya Champalal
MRS D A Tudu,PERSON,female,bengali,initials_lastname_prefix_noise,prefix_noise,D A Tudu
Zenab D,PERSON,female,parsi,firstname_initial,original,Zenab D
A Thar,PERSON,female,bengali,initial_lastname_char_drop,char_drop,A Thakur
Ishita Rathore,PERSON,female,hindi,firstname_lastname,original,Ishita Rathore
SHRI J Yohannan,PERSON,female,malayalam,initial_lastname_prefix_noise,prefix_noise,J Yohannan
Ratanbai G,PERSON,female,jain,firstname_initial,original,Ratanbai G
Srikant,PERSON,male,marathi,firstname_only_phonetic_sub,phonetic_sub,Shrikanth
binoy divakaran,PERSON,male,malayalam,lower,original,binoy divakaran
Shri Kanaujia Jinaya,PERSON,female,jain,lastname_firstname_prefix_noise,prefix_noise,Kanaujia Jinaya
UPI-Chandanbala,PERSON,male,jain,firstname_only_prefix_noise,prefix_noise,Chandanbala
Kon..,PERSON,male,northeast,firstname_only_partial_masked,partial_masked,Konsam
Mrinal,PERSON,female,marathi,firstname_only,original,Mrinal
S Dhakad,PERSON,female,rajasthani,initial_lastname,original,S Dhakad
L P..,PERSON,male,rajasthani,initial_lastname_partial_masked,partial_masked,L Pokhriyal
tulasi pidugu,PERSON,female,telugu,lower,original,tulasi pidugu
G Mathia,PERSON,male,malayalam,initial_lastname_typo_swap,typo_swap,G Mathai
Mr R Jayachandran,PERSON,male,malayalam,initial_lastname_prefix_noise,prefix_noise,R Jayachandran
Siddiqi Aman,PERSON,male,muslim,lastname_firstname,original,Siddiqi Aman
Tarant,PERSON,female,punjabi,firstname_only_char_drop,char_drop,Taranjit
Jutika K,PERSON,female,assamese,firstname_initial,original,Jutika K
Damayanti   M,PERSON,female,bengali,firstname_initial_extra_spaces,extra_spaces,Damayanti M
S Gurjar-3027,PERSON,female,rajasthani,initial_lastname_suffix_noise,suffix_noise,S Gurjar
colin nagar,PERSON,male,christian,lower,original,colin nagar
Susanta,PERSON,male,bengali,firstname_only,original,Susanta
RHL CHISHT,PERSON,female,muslim,upper_vowel_drop,vowel_drop,RAHEELA CHISHTI
S Idicula,PERSON,male,malayalam,initial_lastname,original,S Idicula
HariBanerjee,PERSON,male,assamese,firstname_lastname_no_spaces,no_spaces,Hari Banerjee
C Dikshit,PERSON,female,rajasthani,initial_lastname,original,C Dikshit
Joll M,PERSON,female,bengali,firstname_initial_abbreviated,abbreviated,Jolly M
A Viswanathan,PERSON,female,tamil,initial_lastname,original,A Viswanathan
Shri jutika kisku,PERSON,female,assamese,lower_prefix_noise,prefix_noise,jutika kisku
V J Sepen,PERSON,female,malayalam,initials_lastname_char_drop,char_drop,V J Stephen
Ramesh  Parekh,PERSON,male,gujarati,firstname_lastname_extra_spaces,extra_spaces,Ramesh Parekh
S K Knar,PERSON,male,bengali,initials_lastname_vowel_drop,vowel_drop,S K Konar
Ghanchi ***,PERSON,female,gujarati,lastname_firstname_partial_masked,partial_masked,Ghanchi Chandni
S Ba,PERSON,male,muslim,initial_lastname_extra_spaces+abbreviated,extra_spaces+abbreviated,S Baig
K B Kakianda,PERSON,female,telugu,initials_lastname_typo_swap,typo_swap,K B Kakinada
Lamxichand A,PERSON,male,jain,firstname_initial_typo_swap,typo_swap,Laxmichand A
Raika Nahi,PERSON,female,rajasthani,lastname_firstname_char_drop,char_drop,Raika Nanhi
Mrs Khojeste M,PERSON,male,parsi,firstname_initial_prefix_noise,prefix_noise,Khojeste M
vijaya/waghmare,PERSON,female,marathi,lower_space_replaced,space_replaced,vijaya waghmare
MansiKataria,PERSON,female,hindi,firstname_lastname_no_spaces,no_spaces,Mansi Kataria
Modukuri   Narsaiah,PERSON,male,telugu,lastname_firstname_extra_spaces,extra_spaces,Modukuri Narsaiah
J Sm,PERSON,male,assamese,initial_lastname_char_drop,char_drop,J Sema
Lillian. P.,PERSON,female,christian,firstname_initial_dots_added,dots_added,Lillian P
Soundararajan Devfi,PERSON,female,tamil,lastname_firstname_char_insert,char_insert,Soundararajan Devi
Diple,PERSON,female,gujarati,firstname_initial_char_drop,char_drop,Dimple F
ANair,PERSON,male,tamil,initial_lastname_no_spaces,no_spaces,A Nair
Galla ...,PERSON,female,telugu,lastname_firstname_partial_masked+dots_added,partial_masked+dots_added,Galla Tulasi
TENAZ SARLA CAPTAIN/44,PERSON,female,parsi,three_part_upper_suffix_noise,suffix_noise,TENAZ SARLA CAPTAIN
Bhrvi T,PERSON,female,marathi,firstname_initial_vowel_drop,vowel_drop,Bhairavi T
purvi mehta,PERSON,female,gujarati,lower,original,purvi mehta
Ghosh,PERSON,male,bengali,lastname_firstname_first_name_only,first_name_only,Ghosh Manab
kanwar thind,PERSON,male,punjabi,lower,original,kanwar thind
Mahadev D,PERSON,male,tamil,firstname_initial,original,Mahadev D
S Achry,PERSON,male,telugu,initial_lastname_vowel_drop,vowel_drop,S Achary
Bosco Mathai,PERSON,male,christian,firstname_lastname,original,Bosco Mathai
MR Archana P,PERSON,female,assamese,firstname_initial_prefix_noise,prefix_noise,Archana P
reeya ugpta,PERSON,female,bengali,lower_typo_swap,typo_swap,reeya gupta
Rohnii Ranade,PERSON,female,marathi,firstname_lastname_typo_swap,typo_swap,Rohini Ranade
K Patnaik,PERSON,female,odia,initial_lastname,original,K Patnaik
Sukhwinder Chopra,PERSON,male,punjabi,firstname_lastname,original,Sukhwinder Chopra
DEBAJA..,PERSON,female,odia,three_part_upper_partial_masked,partial_masked,DEBAJANI GANGA GIRI
gyanchandvyas,PERSON,male,hindi,lower_no_spaces,no_spaces,gyanchand vyas
B T Naik,PERSON,male,odia,initials_lastname,original,B T Naik
mousumi naskar,PERSON,female,bengali,lower,original,mousumi naskar
P Mis...,PERSON,male,odia,initial_lastname_partial_masked,partial_masked,P Mishra
Telma,PERSON,female,christian,firstname_only_phonetic_sub,phonetic_sub,Thelma
B/Ballal,PERSON,female,kannada,initial_lastname_space_replaced,space_replaced,B Ballal
Saroj..,PERSON,female,marathi,firstname_lastname_partial_masked,partial_masked,Sarojini Joglekar
Shahid Bukhari,PERSON,male,muslim,firstname_lastname,original,Shahid Bukhari
Gane...,PERSON,male,kannada,firstname_initial_partial_masked,partial_masked,Ganesh M
Bhanwarlal S,PERSON,male,rajasthani,firstname_initial,original,Bhanwarlal S
Kashhish P,PERSON,female,hindi,firstname_initial_char_repeat,char_repeat,Kashish P
I Sodhi,PERSON,female,punjabi,initial_lastname,original,I Sodhi
Ch Aw,PERSON,male,rajasthani,firstname_lastname_abbreviated,abbreviated,Chhaganlal Awasthi
Sharadamma H.,PERSON,female,kannada,firstname_initial_dots_added,dots_added,Sharadamma H
Pau***,PERSON,female,bengali,lastname_firstname_partial_masked,partial_masked,Paul Ankita
Charan Randahwa,PERSON,male,punjabi,firstname_lastname_typo_swap,typo_swap,Charan Randhawa
Vashishtha Kuldeep,PERSON,male,hindi,lastname_firstname,original,Vashishtha Kuldeep
sirat sidu,PERSON,female,punjabi,lower_phonetic_sub+phonetic_sub,phonetic_sub+phonetic_sub,seerat sidhu
Chapra-Rayaan,PERSON,male,muslim,lastname_firstname_space_replaced,space_replaced,Chapra Rayaan
Kusuma. Kambhampati,PERSON,female,telugu,firstname_lastname_dots_added,dots_added,Kusuma Kambhampati
manideep gajulla,PERSON,male,telugu,lower_char_repeat,char_repeat,manideep gajula
pratischta sherpa,PERSON,female,assamese,lower_phonetic_sub,phonetic_sub,pratishtha sherpa
JASKKARAN RIAR,PERSON,male,punjabi,upper_char_repeat,char_repeat,JASKARAN RIAR
aYsh Gaddi,PERSON,male,hindi,firstname_lastname_typo_swap,typo_swap,Yash Gaddi
D Narayanan,PERSON,female,malayalam,initial_lastname,original,D Narayanan
Jaiswal Nirmal,PERSON,male,hindi,lastname_firstname,original,Jaiswal Nirmal
KESARIMAL SEVAK GURJAR,PERSON,male,rajasthani,three_part_upper_phonetic_sub,phonetic_sub,KESARIMAL SEWAK GURJAR
Joglekar Namdev,PERSON,male,marathi,lastname_firstname,original,Joglekar Namdev
Gajendra/Khurana,PERSON,male,rajasthani,firstname_lastname_space_replaced+extra_spaces,space_replaced+extra_spaces,Gajendra Khurana
VEENA BABU,PERSON,female,telugu,upper,original,VEENA BABU
Iyengar Ramya,PERSON,female,tamil,lastname_firstname,original,Iyengar Ramya
Urvi D-767,PERSON,female,gujarati,firstname_initial_suffix_noise,suffix_noise,Urvi D
Ashwn D,PERSON,male,gujarati,firstname_initial_vowel_drop,vowel_drop,Ashwin D
Mr Gupta Sharon,PERSON,female,christian,lastname_firstname_prefix_noise,prefix_noise,Gupta Sharon
TapasTalukdar,PERSON,male,bengali,firstname_lastname_no_spaces,no_spaces,Tapas Talukdar
Hegde Ashwini,PERSON,female,kannada,lastname_firstname,original,Hegde Ashwini
UPI/Indumathi Mallya,PERSON,female,kannada,firstname_lastname_prefix_noise,prefix_noise,Indumathi Mallya
MRS Sa M,PERSON,male,parsi,firstname_initial_abbreviated+prefix_noise,abbreviated+prefix_noise,Savak M
G B...,PERSON,male,parsi,initials_lastname_partial_masked,partial_masked,G B Vakil
DAWOOD NAKHUDA,PERSON,male,muslim,upper,original,DAWOOD NAKHUDA
rashmi havaldar,PERSON,female,kannada,lower,original,rashmi havaldar
Phooli Jakhar,PERSON,female,rajasthani,firstname_lastname,original,Phooli Jakhar
Gairola Magalal,PERSON,male,rajasthani,lastname_firstname_char_drop,char_drop,Gairola Maganlal
A Raju,PERSON,male,telugu,initial_lastname,original,A Raju
A Oommen,PERSON,male,malayalam,initial_lastname,original,A Oommen
PadmanabhMaheshwari,PERSON,male,jain,firstname_lastname_no_spaces,no_spaces,Padmanabh Maheshwari
Hannah S,PERSON,female,christian,firstname_initial,original,Hannah S
Hamdani hAmja,PERSON,male,muslim,lastname_firstname_char_repeat+phonetic_sub,char_repeat+phonetic_sub,Hamdani Hamza
madhurbe panchariya,PERSON,female,jain,lower_char_drop,char_drop,madhuriben panchariya
S Rtahore,PERSON,male,rajasthani,initial_lastname_typo_swap,typo_swap,S Rathore
Raghrm Prksh Mjt,PERSON,male,telugu,three_part_vowel_drop,vowel_drop,Raghuram Prakash Majeti
Marimuthu Rathinavelu,PERSON,male,tamil,lastname_firstname,original,Marimuthu Rathinavelu
Raghavendra Kap,PERSON,male,telugu,firstname_lastname_truncated,truncated,Raghavendra Kapu
dhanalaakshmi subramaniam,PERSON,female,tamil,lower_char_repeat,char_repeat,dhanalakshmi subramaniam
pirojsha  mehta,PERSON,male,parsi,lower_extra_spaces,extra_spaces,pirojsha mehta
ADDavar,PERSON,male,parsi,initials_lastname_no_spaces,no_spaces,A D Davar
faeth sehgal,PERSON,male,punjabi,lower_typo_swap,typo_swap,fateh sehgal
ekambaram somas,PERSON,male,tamil,lower_truncated,truncated,ekambaram somasundaram
RajashekarM,PERSON,male,kannada,firstname_initial_no_spaces,no_spaces,Rajashekar M
Pinninti Madhusudan/99,PERSON,male,telugu,lastname_firstname_suffix_noise,suffix_noise,Pinninti Madhusudan
Nacattar cHahal,PERSON,male,punjabi,firstname_lastname_phonetic_sub,phonetic_sub,Nachattar Chahal
DhyanC,PERSON,male,northeast,firstname_initial_no_spaces,no_spaces,Dhyan C
K. Kansara,PERSON,male,gujarati,initial_lastname_dots_added,dots_added,K Kansara
MRS Dolly T,PERSON,female,christian,firstname_initial_prefix_noise,prefix_noise,Dolly T
getdv singhal,PERSON,female,jain,lower_vowel_drop,vowel_drop,geetadevi singhal
Pal Bidishaa,PERSON,female,bengali,lastname_firstname_char_repeat,char_repeat,Pal Bidisha
Mani. R.,PERSON,male,tamil,firstname_initial_dots_added,dots_added,Mani R
METCHINLA   DKHAR,PERSON,female,northeast,upper_extra_spaces,extra_spaces,METCHINLA DKHAR
RAGHUNATHVEERAPPAN,PERSON,male,tamil,upper_no_spaces,no_spaces,RAGHUNATH VEERAPPAN
Yaranal-Prakash,PERSON,male,kannada,lastname_firstname_space_replaced,space_replaced,Yaranal Prakash
Sasmal Shubahra,PERSON,female,bengali,lastname_firstname_char_insert,char_insert,Sasmal Shubhra
R Chinnadurai,PERSON,male,tamil,initial_lastname,original,R Chinnadurai
B Poddr,PERSON,male,christian,initial_lastname_char_drop,char_drop,B Poddar
lakhi saren,PERSON,male,assamese,lower,original,lakhi saren
LSHRAM LNGM,PERSON,female,northeast,upper_vowel_drop,vowel_drop,LAISHRAM LIANGMAI
Purnima P/59,PERSON,female,odia,firstname_initial_suffix_noise,suffix_noise,Purnima P
MR Susanna,PERSON,female,christian,firstname_only_prefix_noise,prefix_noise,Susanna
Bhawain,PERSON,male,rajasthani,firstname_only_no_spaces+typo_swap,no_spaces+typo_swap,Bhawani
Vitthal Deshmuhk,PERSON,male,marathi,firstname_lastname_typo_swap,typo_swap,Vitthal Deshmukh
Philip/Beevi,PERSON,female,malayalam,lastname_firstname_typo_swap+space_replaced,typo_swap+space_replaced,Philip Beevi
Usha   D,PERSON,female,odia,firstname_initial_extra_spaces,extra_spaces,Usha D
GOPI PADIAR,PERSON,male,gujarati,upper_phonetic_sub,phonetic_sub,GOPI PADHIAR
Nigel Sebastian,PERSON,male,christian,firstname_lastname,original,Nigel Sebastian
V Salvi,PERSON,male,rajasthani,initial_lastname,original,V Salvi
Divya Tanna-148,PERSON,female,gujarati,firstname_lastname_suffix_noise,suffix_noise,Divya Tanna
CRUZ ANTONY,PERSON,male,christian,upper,original,CRUZ ANTONY
Amin Mira,PERSON,female,gujarati,lastname_firstname,original,Amin Mira
Gomti. G.,PERSON,female,rajasthani,firstname_initial_dots_added,dots_added,Gomti G
DAVAL PANDYA,PERSON,male,gujarati,upper,original,DAVAL PANDYA
RMAKT PRIDA,PERSON,male,odia,upper_vowel_drop+char_drop,vowel_drop+char_drop,RAMAKANTA PARIDA
Shinde Muktabai,PERSON,female,marathi,lastname_firstname,original,Shinde Muktabai
LOVLINA MISHIqNG,PERSON,male,northeast,upper_char_insert,char_insert,LOVLINA MISHING
Shafeeq C,PERSON,male,malayalam,firstname_initial,original,Shafeeq C
N Tripaty,PERSON,male,odia,initial_lastname_phonetic_sub,phonetic_sub,N Tripathy
IMPS-Nadwi Mahboob,PERSON,male,muslim,lastname_firstname_prefix_noise,prefix_noise,Nadwi Mahboob
P Kotha456,PERSON,female,telugu,initial_lastname_suffix_noise,suffix_noise,P Kotha
andeep Jdeja,PERSON,male,gujarati,firstname_lastname_char_drop,char_drop,Sandeep Jadeja
L Tudu,PERSON,female,christian,initial_lastname,original,L Tudu
Sastry Veena,PERSON,female,telugu,lastname_firstname,original,Sastry Veena
Bi Na,PERSON,male,jain,lastname_firstname_abbreviated,abbreviated,Bist Navratan
M L Pete,PERSON,male,malayalam,initials_lastname_abbreviated,abbreviated,M L Peter
Kodali Gnana,PERSON,female,telugu,lastname_firstname,original,Kodali Gnana
MEHER DEOBNDI,PERSON,female,muslim,upper_char_drop,char_drop,MEHER DEOBANDI
raya d'souza,PERSON,female,malayalam,lower_typo_swap,typo_swap,arya d'souza
IYYAPPAN NAGARAJAN,PERSON,male,tamil,upper,original,IYYAPPAN NAGARAJAN
Aviijt Jana,PERSON,male,bengali,firstname_lastname_typo_swap,typo_swap,Avijit Jana
Anamkia A,PERSON,female,punjabi,firstname_initial_typo_swap,typo_swap,Anamika A
S Stephen,PERSON,male,malayalam,initial_lastname,original,S Stephen
Pra Dev,PERSON,male,kannada,lastname_firstname_abbreviated,abbreviated,Prabhu Devaiah
AALIYAA KAZMI,PERSON,female,muslim,upper_char_repeat,char_repeat,AALIYA KAZMI
Riam B,PERSON,female,assamese,firstname_initial_typo_swap,typo_swap,Rima B
devnaiah adke,PERSON,male,kannada,lower_char_insert,char_insert,devaiah adke
vipin godara UOB,PERSON,male,hindi,lower_suffix_noise,suffix_noise,vipin godara
Sita,PERSON,female,odia,firstname_only,original,Sita
Hitesh Musahary,PERSON,male,assamese,firstname_lastname,original,Hitesh Musahary
Yohannan Sumod-9510,PERSON,male,malayalam,lastname_firstname_suffix_noise,suffix_noise,Yohannan Sumod
B Prakash,PERSON,male,hindi,initial_lastname,original,B Prakash
Saitsh Kansara-2421,PERSON,male,gujarati,firstname_lastname_typo_swap+suffix_noise,typo_swap+suffix_noise,Satish Kansara
Dalal Rajan,PERSON,male,gujarati,lastname_firstname,original,Dalal Rajan
ambika elangovan,PERSON,female,tamil,lower,original,ambika elangovan
Praven S,PERSON,male,kannada,firstname_initial_char_drop,char_drop,Praveen S
ubaida oommen,PERSON,female,malayalam,lower_char_drop,char_drop,zubaida oommen
tulaasi pidugu,PERSON,female,telugu,lower_char_repeat,char_repeat,tulasi pidugu
Jiijn S,PERSON,male,malayalam,firstname_initial_typo_swap,typo_swap,Jijin S
devi lakshma.,PERSON,female,malayalam,lower_truncated_ellipsis,truncated_ellipsis,devi lakshmanan
Baig Mariam,PERSON,female,muslim,lastname_firstname,original,Baig Mariam
sAUrAbh VIs...,PERSON,male,hindi,firstname_lastname_case_noise+truncated_ellipsis,case_noise+truncated_ellipsis,Saurabh Vishnoi
Hammad J,PERSON,male,muslim,firstname_initial,original,Hammad J
N David,PERSON,female,malayalam,initial_lastname,original,N David
Jey,PERSON,female,tamil,firstname_only_abbreviated,abbreviated,Jeyashree
kiran jadhav,PERSON,female,marathi,lower,original,kiran jadhav
Mr Premkumar,PERSON,male,tamil,firstname_only_prefix_noise,prefix_noise,Premkumar
Bhup***,PERSON,male,punjabi,firstname_lastname_partial_masked,partial_masked,Bhupinder Sandhu
vaibhv natu,PERSON,male,marathi,lower_vowel_drop,vowel_drop,vaibhav natu
Podu***,PERSON,male,telugu,lastname_firstname_partial_masked,partial_masked,Poduri Ajay
Bilashini N,PERSON,female,northeast,firstname_initial,original,Bilashini N
P Pandi***,PERSON,male,tamil,initial_lastname_partial_masked,partial_masked,P Pandiyan
M S Sharma,PERSON,female,northeast,initials_lastname,original,M S Sharma
Anjana H,PERSON,female,odia,firstname_initial,original,Anjana H
RMANI LAKSHMI DWIVEDI,PERSON,female,rajasthani,three_part_upper_char_drop,char_drop,RUKMANI LAKSHMI DWIVEDI
Tanna,PERSON,male,gujarati,firstname_lastname_last_name_only,last_name_only,Samir Tanna
NIDHI CHANDRA MEVAWALA,PERSON,female,gujarati,three_part_upper,original,NIDHI CHANDRA MEVAWALA
Jatin Deen VVekariya,PERSON,male,gujarati,three_part_char_repeat,char_repeat,Jatin Deen Vekariya
Nariman Rustomji,PERSON,female,parsi,lastname_firstname,original,Nariman Rustomji
Tarneet,PERSON,female,punjabi,firstname_only,original,Tarneet
J Ghule,PERSON,female,marathi,initial_lastname,original,J Ghule
nagalakshmi namasivayam,PERSON,female,tamil,lower,original,nagalakshmi namasivayam
SMRITI DOSCHi,PERSON,female,gujarati,upper_phonetic_sub,phonetic_sub,SMRITI DOSHI
J Surendran,PERSON,male,malayalam,initial_lastname_phonetic_sub,phonetic_sub,Z Surendran
Sakhi S,PERSON,female,marathi,firstname_initial,original,Sakhi S
Madgaonkar Vaibhav,PERSON,male,marathi,lastname_firstname,original,Madgaonkar Vaibhav
Jharna  Gupta,PERSON,female,bengali,firstname_lastname_extra_spaces,extra_spaces,Jharna Gupta
M Bilgrami,PERSON,female,muslim,initial_lastname,original,M Bilgrami
YPeter,PERSON,male,malayalam,initial_lastname_no_spaces,no_spaces,Y Peter
NEFT-GURNOOR PADAM,PERSON,male,punjabi,three_part_upper_truncated+prefix_noise,truncated+prefix_noise,GURNOOR PADAM SEKHON
DR SHREYA TALUKDAR,PERSON,female,bengali,upper_prefix_noise,prefix_noise,SHREYA TALUKDAR
Gurung Rituparna,PERSON,female,assamese,lastname_firstname,original,Gurung Rituparna
PILOO_PETIT,PERSON,female,parsi,upper_space_replaced,space_replaced,PILOO PETIT
tilottama mandal,PERSON,female,assamese,lower,original,tilottama mandal
Narsaiah Vemula,PERSON,male,telugu,firstname_lastname,original,Narsaiah Vemula
Deshmuh Ameya,PERSON,male,marathi,lastname_firstname_char_drop,char_drop,Deshmukh Ameya
Baldev Sunder Rathor,PERSON,male,rajasthani,three_part_truncated,truncated,Baldev Sunder Rathore
S Kabui,PERSON,female,northeast,initial_lastname,original,S Kabui
R GGabriel,PERSON,male,malayalam,initial_lastname_char_repeat,char_repeat,R Gabriel
tampha singpho VGD,PERSON,female,northeast,lower_suffix_noise+double_merge,suffix_noise+double_merge,tampha singpho
